 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Text_Level_1,Find the true,Tìm sự thật,진실을 찾아라,找出真相,Найдите истинное,Trova quello vero,Trouver le vrai,本当を見つける,Encuentra la verdad,Finde das Wahre
Text_Level_2,Who is thief,Ai là kẻ cắp,도둑은 누구인가,谁是小偷,Кто вор,Chi è il ladro?,Qui est le voleur,泥棒は誰ですか,QuiÃ©n es ladrÃ³n,Wer ist der Dieb?
Text_Level_3,Find the good girl,Đâu là gái ngoan,좋은 여자를 찾아라,找个好姑娘,Найди хорошую девушку,Trova la brava ragazza,Trouvez la bonne fille,いい子を探す,Encuentra a la chica buena,Finde das gute MÃ¤dchen
Text_Level_4,Who is having affair,Ai là kẻ ngoại tình ,누가 바람을 피우는가,谁有外遇,У кого роман,Chi ha una relazione?,Qui a une liaison,誰が浮気しているのか,QuiÃ©n estÃ¡ teniendo una aventura,Wer hat eine AffÃ¤re
Text_Level_5,Change her outfit,Chọn trang phục đi biển cho nàng,그녀의 의상을 바꾸자,换她的衣服,Сменить ее наряд,Cambiale vestito,Changer sa tenue,彼女の服を変える,Cambia su atuendo,Ã„ndere ihr Outfit
Text_Level_6,Find urgly girl,Ai là kẻ giả dạng,못생긴 여자를 찾아라,找个丑女,Найдите срочную девушку,Trova la ragazza brutta,Trouver une fille urgente,緊急の女の子を探す,Encuentra chica fea,Finde das drÃ¤ngende MÃ¤dchen
Text_Level_7,Make her confident,Giúp nàng ta tự tin hơn,그녀를 자신감 있게,让她自信,Сделайте ее уверенной,Rendila sicura,Rendez-la confiante,彼女に自信を持たせる,Hazla sentirse segura,Mache sie selbstbewusst
Text_Level_8,Find the terrible husband,Tìm tên chồng phụ bạc,무서운 남편을 찾아라,找到可怕的丈夫,Найдите ужасного мужа,Trova il terribile marito,Trouver le mari terrible,ひどい夫を探す,Encuentra al marido terrible,Finde den schrecklichen Ehemann
Text_Level_9,Which one is hotboy,Đâu là hotboy,어떤 사람이 요주의 인물인가,哪个是辣妹,Какой из них хотбой,Qual è l'hotboy?,Lequel est beau garçon,どちらがホットボーイですか,CuÃ¡l es chico hot,Welcher ist heiÃŸ?
Text_Level_10,Help her lose weight,Giúp cô nàng giảm cân,그녀의 체중 감량을 도와주세요,帮她减肥,Помогите ей похудеть,Aiutala a perdere peso,Aidez-la à perdre du poids,彼女が体重を減らすのを手伝ってください,AyÃºdala a perder peso,Hilf ihr beim Abnehmen
Text_Level_11,Finding Teemo,Truy tìm Teemo,티모를 찾는 중,寻找提莫,В поисках Тимо,Alla ricerca di Teemo,Trouver Teemo,Teemo を見つける,Buscando a Teemo,Suche nach Teemo
Text_Level_12,What is happening?,Truy tìm sự thật,무슨 일이 일어나고 있습니까?,怎么了？,Что происходит?,Che cosa sta succedendo?,Qu'est-ce qui se passe ?,何が起こっている？,Â¿QuÃ© estÃ¡ pasando?,Was ist los?
Text_Level_13,Find the liar,ai là kẻ nói dối,거짓말쟁이를 찾아라,找到骗子,Найди лжеца,Trova il bugiardo,Trouver le menteur,うそつきを見つける,Encuentra al mentiroso,Finde den LÃ¼gner
Text_Level_14,Cool her down,Giúp cô nàng bớt nóng,그녀를 진정시키자,给她降温,Охладить ее,Rinfrescala,Refroidissez-la,彼女を冷やす,CÃ¡lmala,KÃ¼hl sie ab
Text_Level_15,Find the scholar,Ai là dân tri thức,학자를 찾아라,寻找学者,Найдите ученого,Trova lo studioso,Trouver l'érudit,学者を探す,Encuentra al erudito,Finde den Gelehrten
Text_Level_16,Outfit to impress prince,Làm thế nào để gây ấn tượng với hoàng tử,왕자님을 감동시키는 의상,给王子留下深刻印象的服装,"Наряд, чтобы произвести впечатление на принца",Outfit per impressionare il principe,Tenue pour impressionner le prince,王子を感動させる衣装,Atuendo para impresionar al prÃ­ncipe,"Outfit, um den Prinzen zu beeindrucken"
Text_Level_17,What is she doing,Cô ấy đang làm gì vậy?,그녀는 무엇을 하고 있는가,她在做什么,Что она делает,Cosa sta facendo?,Que fait-elle,彼女は何をやっている,QuÃ© estÃ¡ haciendo ella,Was macht Sie
Text_Level_18,Find the fake one,Tìm kẻ giả mạo,가짜를 찾아라,找出假的,Найдите фальшивую,Trova quello falso,Trouvez le faux,偽物を探す,Encuentra el falso,Finde die Falsche
Text_Level_19,Who is hidding,Tìm kẻ lẩn trốn ,누가 숨고 있는가,谁在躲,Кто прячется,Chi si nasconde?,Qui se cache,誰が隠れているのか,QuiÃ©n se estÃ¡ escondiendo,Wer versteckt sich
Text_Level_20,She is hidding something,Cô gái đang giấu gì vậy,그녀는 뭔가를 숨기고 있다,她在隐瞒什么,Она что-то скрывает,Sta nascondendo qualcosa!,elle cache quelque chose,彼女は何かを隠しています,Ella estÃ¡ escondiendo algo,Sie versteckt etwas
Text_Level_21,Is she cheating on him?,Cô ta có đang ngoại tình không,그녀가 그를 속이고 있습니까?,她在欺骗他吗？,Она ему изменяет?,Lo sta tradendo?,Est-ce qu'elle le trompe ?,彼女は彼を浮気していますか？,Â¿Ella lo estÃ¡ engaÃ±ando?,BetrÃ¼gt sie ihn?
Text_Level_22,What is going on,Anh ta đang làm gì?,무슨 일이야,到底是怎么回事,Что здесь происходит,Cosa sta succedendo?,Que se passe-t-il,何が起こっている,QuÃ© estÃ¡ pasando,Was ist los
Text_Level_23,Where is Prince,Hoàng tử là ai,왕자님은 어디에,王子在哪里,Где принц,Dov'è il principe?,Où est Prince,プリンスはどこですか,DÃ³nde estÃ¡ el prÃ­ncipe,Wo ist der Prinz
Text_Level_24,Find plastic girl,Ai là người đẹp nhân tạo ,플라스틱 소녀를 찾아라,找塑料女孩,Найдите пластиковую девушку,Trova la ragazza di plastica,Trouver une fille en plastique,プラスチックの女の子を探す,Encuentra la chica de plÃ¡stico,PlastikmÃ¤dchen finden
Text_Level_25,The right shadow,Đâu là bóng hình nàng,오른쪽 그림자,正确的影子,Правильная тень,L'ombra giusta,La bonne ombre,右の影,La sombra correcta,Der richtige Schatten
Text_Level_26,Rescue the girl,Giải cứu mỹ nhân,소녀를 구출하라,救那个女孩,Спасите девушку,Salva la ragazza,Sauvez la fille,女の子を救出,Rescata a la chica,Rette das MÃ¤dchen
Text_Level_27,Which one is smallest,Đâu là số nhỏ nhất,어떤 게 제일 작은 건가요,哪一个是最小的,Какой из них самый маленький,Qual è il più piccolo?,Lequel est le plus petit,どれが一番小さいか,CuÃ¡l es el mÃ¡s pequeÃ±o,Welcher ist der Kleinste
Text_Level_28,Who is richest,Tìm người giàu nhất,누가 가장 부자인가,谁最有钱,Кто самый богатый,Chi è più ricco?,Qui est le plus riche,誰が一番裕福ですか,QuiÃ©n es mÃ¡s rico,Wer ist am reichsten
Text_Level_29,Who eat the Cake,Ai đã ăn trộm cái bánh ,케이크를 먹는 사람,谁吃蛋糕,Кто ест торт,Chi mangia la torta?,Qui mange le gâteau,ケーキを食べる人,QuiÃ©n come el pastel,Wer isst den Kuchen
